コード,市区町村名,人数,獲得比率,距離
08236,小美玉市,1398,0.002,169.5
24208,名張市,1379,0.002,275.4
23233,清須市,1377,0.002,203.6
08564,北相馬郡利根町,1376,0.005,130.4
45201,宮崎市,1375,0.000,802.9
09411,那須郡那珂川町,1374,0.004,208.5
27103,大阪市福島区,1373,0.001,331.5
46203,鹿屋市,1370,0.001,866.5
11346,比企郡川島町,1370,0.004,104.3
27208,貝塚市,1366,0.002,345.7
19430,南都留郡富士河口湖町,1355,0.005,58.4
13303,西多摩郡瑞穂町,1355,0.004,78.0
34202,呉市,1355,0.001,596.2
40211,筑後市,1346,0.003,817.4
23216,常滑市,1332,0.001,203.7
01202,函館市,1326,0.000,768.3
01103,札幌市東区,1324,0.000,913.2
26208,向日市,1319,0.002,307.6
03209,一関市,1318,0.001,471.7
34108,広島市佐伯区,1306,0.001,627.4
26214,木津川市,1300,0.001,296.3
26210,八幡市,1293,0.001,306.9
12234,南房総市,1289,0.003,80.9
11347,比企郡吉見町,1285,0.003,110.4
27102,大阪市都島区,1280,0.001,326.4
11343,比企郡小川町,1279,0.003,106.9
05463,雄勝郡羽後町,1278,0.005,466.6
08222,鹿嶋市,1273,0.002,171.2
23226,尾張旭市,1272,0.001,186.4
27214,富田林市,1261,0.001,326.1
20204,岡谷市,1261,0.002,143.7
19209,北杜市,1260,0.003,102.3
12205,館山市,1259,0.002,73.9
20561,下高井郡山ノ内町,1255,0.010,189.5
23227,高浜市,1236,0.002,190.4
47362,島尻郡八重瀬町,1236,0.002,1472.0
40647,築上郡築上町,1235,0.003,759.0
40203,久留米市,1233,0.000,810.0
11383,児玉郡神川町,1222,0.007,118.1
12226,富津市,1220,0.003,77.1
09211,矢板市,1213,0.004,205.6
34101,広島市中区,1200,0.001,610.5
10464,佐波郡玉村町,1200,0.003,133.5
27117,大阪市旭区,1184,0.001,325.1
10212,みどり市,1180,0.002,157.1
35203,山口市,1176,0.001,688.2
11385,児玉郡上里町,1176,0.003,127.6
10421,吾妻郡中之条町,1176,0.004,176.4
04361,亘理郡亘理町,1158,0.002,364.0
40610,田川郡福智町,1156,0.003,776.1
25210,野洲市,1148,0.002,277.6
09301,河内郡上三川町,1144,0.003,166.5
44212,豊後大野市,1130,0.002,734.0
09407,那須郡那須町,1111,0.003,233.3
01231,恵庭市,1109,0.002,891.3
28216,高砂市,1102,0.001,392.2
21421,本巣郡北方町,1095,0.005,219.8
21208,瑞浪市,1088,0.002,166.2
15206,新発田市,1085,0.001,314.3
09214,さくら市,1082,0.002,198.3
35215,周南市,1071,0.001,670.0
18423,丹生郡越前町,1066,0.004,289.1
27225,高石市,1066,0.001,338.6
24216,伊賀市,1064,0.001,267.0
34212,東広島市,1060,0.001,581.8
21303,羽島郡笠松町,1048,0.004,212.9
29210,香芝市,1048,0.001,315.6
34104,広島市西区,1047,0.001,613.5
01106,札幌市南区,1045,0.001,891.7
23447,知多郡武豊町,1038,0.002,199.9
27223,門真市,1033,0.001,319.8
03211,釜石市,1024,0.003,524.1
42204,諫早市,1023,0.001,866.4
20205,飯田市,1022,0.000,101.6
08230,かすみがうら市,1013,0.002,158.4
04215,大崎市,1006,0.001,428.8
27229,四條畷市,1002,0.001,312.7
01208,北見市,997,0.000,1059.7
03215,奥州市,993,0.001,488.6
21211,美濃加茂市,992,0.002,191.1
28105,神戸市兵庫区,970,0.001,360.2
24210,亀山市,966,0.001,245.1
31201,鳥取市,965,0.000,451.7
06208,村山市,954,0.004,395.6
20207,須坂市,953,0.002,179.8
01110,札幌市清田区,948,0.001,896.4
06203,鶴岡市,946,0.001,390.8
08229,稲敷市,945,0.002,151.5
21212,土岐市,941,0.001,171.9
27147,堺市美原区,941,0.001,327.2
12233,富里市,937,0.002,132.9
20210,駒ヶ根市,937,0.001,124.5
26213,南丹市,936,0.002,323.4
20214,茅野市,935,0.002,125.5
15204,三条市,933,0.001,270.9
19210,甲斐市,918,0.001,85.1
27104,大阪市此花区,913,0.001,335.0
38213,四国中央市,911,0.001,525.1
38201,松山市,910,0.000,592.4
40101,北九州市門司区,909,0.001,755.2
04202,石巻市,908,0.001,422.6
18202,敦賀市,907,0.001,278.5
20218,千曲市,906,0.001,177.6
35202,宇部市,904,0.000,725.7
02204,黒石市,903,0.002,629.5
09215,那須烏山市,902,0.003,198.4
39201,高知市,902,0.000,536.2
03205,花巻市,898,0.001,512.7
35207,下松市,889,0.001,667.6
33103,岡山市東区,888,0.001,461.8
06202,米沢市,885,0.001,319.9
28106,神戸市長田区,884,0.001,361.9
32203,出雲市,883,0.000,573.9
07368,南会津郡南会津町,881,0.005,232.1
36201,徳島市,871,0.000,435.5
12215,旭市,870,0.001,159.8
34211,大竹市,865,0.002,636.9
19368,南巨摩郡富士川町,865,0.004,77.8
08205,石岡市,863,0.001,160.3
05210,由利本荘市,862,0.001,477.2
08364,久慈郡大子町,859,0.003,221.7
15224,佐渡市,851,0.001,336.2
40132,福岡市博多区,846,0.000,809.9
20215,塩尻市,846,0.001,149.3
44210,杵築市,843,0.002,717.1
01102,札幌市北区,832,0.000,913.1
06205,新庄市,832,0.002,426.1
05206,男鹿市,830,0.003,545.2
07202,会津若松市,830,0.001,273.7
24341,三重郡菰野町,827,0.002,236.9
30203,橋本市,826,0.001,329.4
27107,大阪市港区,826,0.001,334.2
29425,北葛城郡王寺町,818,0.002,313.9
27301,三島郡島本町,817,0.003,312.7
21361,不破郡垂井町,806,0.003,235.1
33102,岡山市中区,799,0.000,469.2
02205,五所川原市,796,0.001,652.3
34107,広島市安芸区,794,0.001,597.9
17212,野々市市,791,0.001,273.3
07207,須賀川市,785,0.001,267.6
25207,守山市,785,0.001,283.3
20362,諏訪郡富士見町,784,0.003,116.3
45401,児湯郡高鍋町,783,0.001,776.1
40137,福岡市早良区,779,0.000,821.6
47212,豊見城市,778,0.001,1472.7
34302,安芸郡府中町,775,0.001,604.6
10429,吾妻郡東吾妻町,775,0.003,159.9
40109,北九州市八幡西区,770,0.000,775.6
29202,大和高田市,768,0.001,311.5
21216,瑞穂市,768,0.001,220.9
15105,新潟市秋葉区,766,0.001,297.7
08521,結城郡八千代町,765,0.002,140.6
